# Kerr ISCO geodesic a/M=0.7 — all four coordinates
lambda,t_coord,r_coord,theta_coord,phi_coord
0.0,0.0,3.393128,1.570796,0.0
0.5,0.953739,3.403745,1.572506,0.137223
1.0,1.907477,3.414099,1.574194,0.274446
1.5,2.861216,3.423937,1.575837,0.411668
2.0,3.814954,3.433017,1.577415,0.548891
2.5,4.768693,3.441115,1.578906,0.686114
3.0,5.722431,3.44803,1.580292,0.823337
3.5,6.67617,3.453594,1.581553,0.960559
4.0,7.629908,3.45767,1.582675,1.097782
4.5,8.583647,3.460156,1.583642,1.235005
5.0,9.537385,3.460991,1.584441,1.372228
5.5,10.491124,3.460156,1.585062,1.50945
6.0,11.444862,3.45767,1.585498,1.646673
6.5,12.398601,3.453594,1.585741,1.783896
7.0,13.352339,3.44803,1.58579,1.921119
7.5,14.306078,3.441115,1.585644,2.058341
8.0,15.259816,3.433017,1.585304,2.195564
8.5,16.213555,3.423937,1.584774,2.332787
9.0,17.167294,3.414099,1.584063,2.47001
9.5,18.121032,3.403745,1.583178,2.607232
10.0,19.074771,3.393128,1.582133,2.744455
10.5,20.028509,3.382512,1.580939,2.881678
11.0,20.982248,3.372158,1.579613,3.018901
11.5,21.935986,3.36232,1.578172,3.156123
12.0,22.889725,3.35324,1.576635,3.293346
12.5,23.843463,3.345142,1.575022,3.430569
13.0,24.797202,3.338226,1.573354,3.567792
13.5,25.75094,3.332662,1.571653,3.705014
14.0,26.704679,3.328587,1.56994,3.842237
14.5,27.658417,3.326101,1.568238,3.97946
15.0,28.612156,3.325266,1.56657,4.116683
15.5,29.565894,3.326101,1.564957,4.253906
16.0,30.519633,3.328587,1.56342,4.391128
16.5,31.473371,3.332662,1.56198,4.528351
17.0,32.42711,3.338226,1.560654,4.665574
17.5,33.380849,3.345142,1.55946,4.802797
18.0,34.334587,3.35324,1.558414,4.940019
18.5,35.288326,3.36232,1.55753,5.077242
19.0,36.242064,3.372158,1.556818,5.214465
19.5,37.195803,3.382512,1.556289,5.351688
20.0,38.149541,3.393128,1.555949,5.48891
20.5,39.10328,3.403745,1.555802,5.626133
21.0,40.057018,3.414099,1.555851,5.763356
21.5,41.010757,3.423937,1.556095,5.900579
22.0,41.964495,3.433017,1.55653,6.037801
22.5,42.918234,3.441115,1.557152,6.175024
23.0,43.871972,3.44803,1.557951,0.029062
23.5,44.825711,3.453594,1.558918,0.166284
24.0,45.779449,3.45767,1.560039,0.303507
24.5,46.733188,3.460156,1.561301,0.44073
25.0,47.686926,3.460991,1.562687,0.577953
25.5,48.640665,3.460156,1.564178,0.715175
26.0,49.594404,3.45767,1.565756,0.852398
26.5,50.548142,3.453594,1.567399,0.989621
27.0,51.501881,3.44803,1.569086,1.126844
27.5,52.455619,3.441115,1.570796,1.264066
28.0,53.409358,3.433017,1.572506,1.401289
28.5,54.363096,3.423937,1.574194,1.538512
29.0,55.316835,3.414099,1.575837,1.675735
29.5,56.270573,3.403745,1.577415,1.812957
30.0,57.224312,3.393128,1.578906,1.95018
30.5,58.17805,3.382512,1.580292,2.087403
31.0,59.131789,3.372158,1.581553,2.224626
31.5,60.085527,3.36232,1.582675,2.361848
32.0,61.039266,3.35324,1.583642,2.499071
32.5,61.993004,3.345142,1.584441,2.636294
33.0,62.946743,3.338226,1.585062,2.773517
33.5,63.900481,3.332662,1.585498,2.910739
34.0,64.85422,3.328587,1.585741,3.047962
34.5,65.807959,3.326101,1.58579,3.185185
35.0,66.761697,3.325266,1.585644,3.322408
35.5,67.715436,3.326101,1.585304,3.459631
36.0,68.669174,3.328587,1.584774,3.596853
36.5,69.622913,3.332662,1.584063,3.734076
37.0,70.576651,3.338226,1.583178,3.871299
37.5,71.53039,3.345142,1.582133,4.008522
38.0,72.484128,3.35324,1.580939,4.145744
38.5,73.437867,3.36232,1.579613,4.282967
39.0,74.391605,3.372158,1.578172,4.42019
39.5,75.345344,3.382512,1.576635,4.557413
40.0,76.299082,3.393128,1.575022,4.694635
40.5,77.252821,3.403745,1.573354,4.831858
41.0,78.206559,3.414099,1.571653,4.969081
41.5,79.160298,3.423937,1.56994,5.106304
42.0,80.114036,3.433017,1.568238,5.243526
42.5,81.067775,3.441115,1.56657,5.380749
43.0,82.021514,3.44803,1.564957,5.517972
43.5,82.975252,3.453594,1.56342,5.655195
44.0,83.928991,3.45767,1.56198,5.792417
44.5,84.882729,3.460156,1.560654,5.92964
45.0,85.836468,3.460991,1.55946,6.066863
45.5,86.790206,3.460156,1.558414,6.204086
46.0,87.743945,3.45767,1.55753,0.058123
46.5,88.697683,3.453594,1.556818,0.195346
47.0,89.651422,3.44803,1.556289,0.332569
47.5,90.60516,3.441115,1.555949,0.469791
48.0,91.558899,3.433017,1.555802,0.607014
48.5,92.512637,3.423937,1.555851,0.744237
49.0,93.466376,3.414099,1.556095,0.88146
49.5,94.420114,3.403745,1.55653,1.018682
50.0,95.373853,3.393128,1.557152,1.155905
50.5,96.327591,3.382512,1.557951,1.293128
51.0,97.28133,3.372158,1.558918,1.430351
51.5,98.235069,3.36232,1.560039,1.567573
52.0,99.188807,3.35324,1.561301,1.704796
52.5,100.142546,3.345142,1.562687,1.842019
53.0,101.096284,3.338226,1.564178,1.979242
53.5,102.050023,3.332662,1.565756,2.116464
54.0,103.003761,3.328587,1.567399,2.253687
54.5,103.9575,3.326101,1.569086,2.39091
55.0,104.911238,3.325266,1.570796,2.528133
55.5,105.864977,3.326101,1.572506,2.665356
56.0,106.818715,3.328587,1.574194,2.802578
56.5,107.772454,3.332662,1.575837,2.939801
57.0,108.726192,3.338226,1.577415,3.077024
57.5,109.679931,3.345142,1.578906,3.214247
58.0,110.633669,3.35324,1.580292,3.351469
58.5,111.587408,3.36232,1.581553,3.488692
59.0,112.541146,3.372158,1.582675,3.625915
59.5,113.494885,3.382512,1.583642,3.763138
60.0,114.448624,3.393128,1.584441,3.90036
60.5,115.402362,3.403745,1.585062,4.037583
61.0,116.356101,3.414099,1.585498,4.174806
61.5,117.309839,3.423937,1.585741,4.312029
62.0,118.263578,3.433017,1.58579,4.449251
62.5,119.217316,3.441115,1.585644,4.586474
63.0,120.171055,3.44803,1.585304,4.723697
63.5,121.124793,3.453594,1.584774,4.86092
64.0,122.078532,3.45767,1.584063,4.998142
64.5,123.03227,3.460156,1.583178,5.135365
65.0,123.986009,3.460991,1.582133,5.272588
65.5,124.939747,3.460156,1.580939,5.409811
66.0,125.893486,3.45767,1.579613,5.547033
66.5,126.847224,3.453594,1.578172,5.684256
67.0,127.800963,3.44803,1.576635,5.821479
