# Kerr ISCO geodesic a/M=0.7
lambda,phi_coord
0.0,0.0
0.5,0.137223
1.0,0.274446
1.5,0.411668
2.0,0.548891
2.5,0.686114
3.0,0.823337
3.5,0.960559
4.0,1.097782
4.5,1.235005
5.0,1.372228
5.5,1.50945
6.0,1.646673
6.5,1.783896
7.0,1.921119
7.5,2.058341
8.0,2.195564
8.5,2.332787
9.0,2.47001
9.5,2.607232
10.0,2.744455
10.5,2.881678
11.0,3.018901
11.5,3.156123
12.0,3.293346
12.5,3.430569
13.0,3.567792
13.5,3.705014
14.0,3.842237
14.5,3.97946
15.0,4.116683
15.5,4.253906
16.0,4.391128
16.5,4.528351
17.0,4.665574
17.5,4.802797
18.0,4.940019
18.5,5.077242
19.0,5.214465
19.5,5.351688
20.0,5.48891
20.5,5.626133
21.0,5.763356
21.5,5.900579
22.0,6.037801
22.5,6.175024
23.0,0.029062
23.5,0.166284
24.0,0.303507
24.5,0.44073
25.0,0.577953
25.5,0.715175
26.0,0.852398
26.5,0.989621
27.0,1.126844
27.5,1.264066
28.0,1.401289
28.5,1.538512
29.0,1.675735
29.5,1.812957
30.0,1.95018
30.5,2.087403
31.0,2.224626
31.5,2.361848
32.0,2.499071
32.5,2.636294
33.0,2.773517
33.5,2.910739
34.0,3.047962
34.5,3.185185
35.0,3.322408
35.5,3.459631
36.0,3.596853
36.5,3.734076
37.0,3.871299
37.5,4.008522
38.0,4.145744
38.5,4.282967
39.0,4.42019
39.5,4.557413
40.0,4.694635
40.5,4.831858
41.0,4.969081
41.5,5.106304
42.0,5.243526
42.5,5.380749
43.0,5.517972
43.5,5.655195
44.0,5.792417
44.5,5.92964
45.0,6.066863
45.5,6.204086
46.0,0.058123
46.5,0.195346
47.0,0.332569
47.5,0.469791
48.0,0.607014
48.5,0.744237
49.0,0.88146
49.5,1.018682
50.0,1.155905
50.5,1.293128
51.0,1.430351
51.5,1.567573
52.0,1.704796
52.5,1.842019
53.0,1.979242
53.5,2.116464
54.0,2.253687
54.5,2.39091
55.0,2.528133
55.5,2.665356
56.0,2.802578
56.5,2.939801
57.0,3.077024
57.5,3.214247
58.0,3.351469
58.5,3.488692
59.0,3.625915
59.5,3.763138
60.0,3.90036
60.5,4.037583
61.0,4.174806
61.5,4.312029
62.0,4.449251
62.5,4.586474
63.0,4.723697
63.5,4.86092
64.0,4.998142
64.5,5.135365
65.0,5.272588
65.5,5.409811
66.0,5.547033
66.5,5.684256
67.0,5.821479
67.5,5.958702
68.0,6.095924
68.5,6.233147
69.0,0.087185
69.5,0.224407
70.0,0.36163
70.5,0.498853
71.0,0.636076
71.5,0.773298
72.0,0.910521
72.5,1.047744
73.0,1.184967
73.5,1.32219
74.0,1.459412
74.5,1.596635
75.0,1.733858
75.5,1.871081
76.0,2.008303
76.5,2.145526
77.0,2.282749
77.5,2.419972
78.0,2.557194
78.5,2.694417
79.0,2.83164
79.5,2.968863
80.0,3.106085
80.5,3.243308
81.0,3.380531
81.5,3.517754
82.0,3.654976
82.5,3.792199
83.0,3.929422
83.5,4.066645
84.0,4.203867
84.5,4.34109
85.0,4.478313
85.5,4.615536
86.0,4.752758
86.5,4.889981
87.0,5.027204
87.5,5.164427
88.0,5.301649
88.5,5.438872
89.0,5.576095
89.5,5.713318
90.0,5.850541
90.5,5.987763
91.0,6.124986
91.5,6.262209
92.0,0.116246
92.5,0.253469
93.0,0.390692
93.5,0.527915
94.0,0.665137
94.5,0.80236
95.0,0.939583
95.5,1.076806
96.0,1.214028
96.5,1.351251
97.0,1.488474
97.5,1.625697
98.0,1.762919
98.5,1.900142
99.0,2.037365
99.5,2.174588
100.0,2.31181
100.5,2.449033
101.0,2.586256
101.5,2.723479
102.0,2.860701
102.5,2.997924
103.0,3.135147
103.5,3.27237
104.0,3.409592
104.5,3.546815
105.0,3.684038
105.5,3.821261
106.0,3.958483
106.5,4.095706
107.0,4.232929
107.5,4.370152
108.0,4.507375
108.5,4.644597
109.0,4.78182
109.5,4.919043
110.0,5.056266
110.5,5.193488
111.0,5.330711
111.5,5.467934
112.0,5.605157
112.5,5.742379
113.0,5.879602
113.5,6.016825
114.0,6.154048
114.5,0.008085
115.0,0.145308
115.5,0.282531
116.0,0.419753
116.5,0.556976
117.0,0.694199
117.5,0.831422
118.0,0.968644
118.5,1.105867
119.0,1.24309
119.5,1.380313
120.0,1.517535
120.5,1.654758
121.0,1.791981
121.5,1.929204
122.0,2.066426
122.5,2.203649
123.0,2.340872
123.5,2.478095
124.0,2.615317
124.5,2.75254
125.0,2.889763
125.5,3.026986
126.0,3.164208
126.5,3.301431
127.0,3.438654
127.5,3.575877
128.0,3.7131
128.5,3.850322
129.0,3.987545
129.5,4.124768
130.0,4.261991
130.5,4.399213
131.0,4.536436
131.5,4.673659
132.0,4.810882
132.5,4.948104
133.0,5.085327
133.5,5.22255
134.0,5.359773
134.5,5.496995
135.0,5.634218
135.5,5.771441
136.0,5.908664
136.5,6.045886
137.0,6.183109
137.5,0.037147
138.0,0.174369
138.5,0.311592
139.0,0.448815
139.5,0.586038
140.0,0.72326
140.5,0.860483
141.0,0.997706
141.5,1.134929
142.0,1.272151
142.5,1.409374
143.0,1.546597
143.5,1.68382
144.0,1.821042
144.5,1.958265
145.0,2.095488
145.5,2.232711
146.0,2.369934
146.5,2.507156
147.0,2.644379
147.5,2.781602
148.0,2.918825
148.5,3.056047
149.0,3.19327
149.5,3.330493
