# Kerr ISCO geodesic a/M=0.7
lambda,r_coord
0.0,3.393128
0.5,3.403745
1.0,3.414099
1.5,3.423937
2.0,3.433017
2.5,3.441115
3.0,3.44803
3.5,3.453594
4.0,3.45767
4.5,3.460156
5.0,3.460991
5.5,3.460156
6.0,3.45767
6.5,3.453594
7.0,3.44803
7.5,3.441115
8.0,3.433017
8.5,3.423937
9.0,3.414099
9.5,3.403745
10.0,3.393128
10.5,3.382512
11.0,3.372158
11.5,3.36232
12.0,3.35324
12.5,3.345142
13.0,3.338226
13.5,3.332662
14.0,3.328587
14.5,3.326101
15.0,3.325266
15.5,3.326101
16.0,3.328587
16.5,3.332662
17.0,3.338226
17.5,3.345142
18.0,3.35324
18.5,3.36232
19.0,3.372158
19.5,3.382512
20.0,3.393128
20.5,3.403745
21.0,3.414099
21.5,3.423937
22.0,3.433017
22.5,3.441115
23.0,3.44803
23.5,3.453594
24.0,3.45767
24.5,3.460156
25.0,3.460991
25.5,3.460156
26.0,3.45767
26.5,3.453594
27.0,3.44803
27.5,3.441115
28.0,3.433017
28.5,3.423937
29.0,3.414099
29.5,3.403745
30.0,3.393128
30.5,3.382512
31.0,3.372158
31.5,3.36232
32.0,3.35324
32.5,3.345142
33.0,3.338226
33.5,3.332662
34.0,3.328587
34.5,3.326101
35.0,3.325266
35.5,3.326101
36.0,3.328587
36.5,3.332662
37.0,3.338226
37.5,3.345142
38.0,3.35324
38.5,3.36232
39.0,3.372158
39.5,3.382512
40.0,3.393128
40.5,3.403745
41.0,3.414099
41.5,3.423937
42.0,3.433017
42.5,3.441115
43.0,3.44803
43.5,3.453594
44.0,3.45767
44.5,3.460156
45.0,3.460991
45.5,3.460156
46.0,3.45767
46.5,3.453594
47.0,3.44803
47.5,3.441115
48.0,3.433017
48.5,3.423937
49.0,3.414099
49.5,3.403745
50.0,3.393128
50.5,3.382512
51.0,3.372158
51.5,3.36232
52.0,3.35324
52.5,3.345142
53.0,3.338226
53.5,3.332662
54.0,3.328587
54.5,3.326101
55.0,3.325266
55.5,3.326101
56.0,3.328587
56.5,3.332662
57.0,3.338226
57.5,3.345142
58.0,3.35324
58.5,3.36232
59.0,3.372158
59.5,3.382512
60.0,3.393128
60.5,3.403745
61.0,3.414099
61.5,3.423937
62.0,3.433017
62.5,3.441115
63.0,3.44803
63.5,3.453594
64.0,3.45767
64.5,3.460156
65.0,3.460991
65.5,3.460156
66.0,3.45767
66.5,3.453594
67.0,3.44803
67.5,3.441115
68.0,3.433017
68.5,3.423937
69.0,3.414099
69.5,3.403745
70.0,3.393128
70.5,3.382512
71.0,3.372158
71.5,3.36232
72.0,3.35324
72.5,3.345142
73.0,3.338226
73.5,3.332662
74.0,3.328587
74.5,3.326101
75.0,3.325266
75.5,3.326101
76.0,3.328587
76.5,3.332662
77.0,3.338226
77.5,3.345142
78.0,3.35324
78.5,3.36232
79.0,3.372158
79.5,3.382512
80.0,3.393128
80.5,3.403745
81.0,3.414099
81.5,3.423937
82.0,3.433017
82.5,3.441115
83.0,3.44803
83.5,3.453594
84.0,3.45767
84.5,3.460156
85.0,3.460991
85.5,3.460156
86.0,3.45767
86.5,3.453594
87.0,3.44803
87.5,3.441115
88.0,3.433017
88.5,3.423937
89.0,3.414099
89.5,3.403745
90.0,3.393128
90.5,3.382512
91.0,3.372158
91.5,3.36232
92.0,3.35324
92.5,3.345142
93.0,3.338226
93.5,3.332662
94.0,3.328587
94.5,3.326101
95.0,3.325266
95.5,3.326101
96.0,3.328587
96.5,3.332662
97.0,3.338226
97.5,3.345142
98.0,3.35324
98.5,3.36232
99.0,3.372158
99.5,3.382512
100.0,3.393128
100.5,3.403745
101.0,3.414099
101.5,3.423937
102.0,3.433017
102.5,3.441115
103.0,3.44803
103.5,3.453594
104.0,3.45767
104.5,3.460156
105.0,3.460991
105.5,3.460156
106.0,3.45767
106.5,3.453594
107.0,3.44803
107.5,3.441115
108.0,3.433017
108.5,3.423937
109.0,3.414099
109.5,3.403745
110.0,3.393128
110.5,3.382512
111.0,3.372158
111.5,3.36232
112.0,3.35324
112.5,3.345142
113.0,3.338226
113.5,3.332662
114.0,3.328587
114.5,3.326101
115.0,3.325266
115.5,3.326101
116.0,3.328587
116.5,3.332662
117.0,3.338226
117.5,3.345142
118.0,3.35324
118.5,3.36232
119.0,3.372158
119.5,3.382512
120.0,3.393128
120.5,3.403745
121.0,3.414099
121.5,3.423937
122.0,3.433017
122.5,3.441115
123.0,3.44803
123.5,3.453594
124.0,3.45767
124.5,3.460156
125.0,3.460991
125.5,3.460156
126.0,3.45767
126.5,3.453594
127.0,3.44803
127.5,3.441115
128.0,3.433017
128.5,3.423937
129.0,3.414099
129.5,3.403745
130.0,3.393128
130.5,3.382512
131.0,3.372158
131.5,3.36232
132.0,3.35324
132.5,3.345142
133.0,3.338226
133.5,3.332662
134.0,3.328587
134.5,3.326101
135.0,3.325266
135.5,3.326101
136.0,3.328587
136.5,3.332662
137.0,3.338226
137.5,3.345142
138.0,3.35324
138.5,3.36232
139.0,3.372158
139.5,3.382512
140.0,3.393128
140.5,3.403745
141.0,3.414099
141.5,3.423937
142.0,3.433017
142.5,3.441115
143.0,3.44803
143.5,3.453594
144.0,3.45767
144.5,3.460156
145.0,3.460991
145.5,3.460156
146.0,3.45767
146.5,3.453594
147.0,3.44803
147.5,3.441115
148.0,3.433017
148.5,3.423937
149.0,3.414099
149.5,3.403745
