# Kerr ISCO geodesic a/M=0.7
lambda,t_coord
0.0,0.0
0.5,0.953739
1.0,1.907477
1.5,2.861216
2.0,3.814954
2.5,4.768693
3.0,5.722431
3.5,6.67617
4.0,7.629908
4.5,8.583647
5.0,9.537385
5.5,10.491124
6.0,11.444862
6.5,12.398601
7.0,13.352339
7.5,14.306078
8.0,15.259816
8.5,16.213555
9.0,17.167294
9.5,18.121032
10.0,19.074771
10.5,20.028509
11.0,20.982248
11.5,21.935986
12.0,22.889725
12.5,23.843463
13.0,24.797202
13.5,25.75094
14.0,26.704679
14.5,27.658417
15.0,28.612156
15.5,29.565894
16.0,30.519633
16.5,31.473371
17.0,32.42711
17.5,33.380849
18.0,34.334587
18.5,35.288326
19.0,36.242064
19.5,37.195803
20.0,38.149541
20.5,39.10328
21.0,40.057018
21.5,41.010757
22.0,41.964495
22.5,42.918234
23.0,43.871972
23.5,44.825711
24.0,45.779449
24.5,46.733188
25.0,47.686926
25.5,48.640665
26.0,49.594404
26.5,50.548142
27.0,51.501881
27.5,52.455619
28.0,53.409358
28.5,54.363096
29.0,55.316835
29.5,56.270573
30.0,57.224312
30.5,58.17805
31.0,59.131789
31.5,60.085527
32.0,61.039266
32.5,61.993004
33.0,62.946743
33.5,63.900481
34.0,64.85422
34.5,65.807959
35.0,66.761697
35.5,67.715436
36.0,68.669174
36.5,69.622913
37.0,70.576651
37.5,71.53039
38.0,72.484128
38.5,73.437867
39.0,74.391605
39.5,75.345344
40.0,76.299082
40.5,77.252821
41.0,78.206559
41.5,79.160298
42.0,80.114036
42.5,81.067775
43.0,82.021514
43.5,82.975252
44.0,83.928991
44.5,84.882729
45.0,85.836468
45.5,86.790206
46.0,87.743945
46.5,88.697683
47.0,89.651422
47.5,90.60516
48.0,91.558899
48.5,92.512637
49.0,93.466376
49.5,94.420114
50.0,95.373853
50.5,96.327591
51.0,97.28133
51.5,98.235069
52.0,99.188807
52.5,100.142546
53.0,101.096284
53.5,102.050023
54.0,103.003761
54.5,103.9575
55.0,104.911238
55.5,105.864977
56.0,106.818715
56.5,107.772454
57.0,108.726192
57.5,109.679931
58.0,110.633669
58.5,111.587408
59.0,112.541146
59.5,113.494885
60.0,114.448624
60.5,115.402362
61.0,116.356101
61.5,117.309839
62.0,118.263578
62.5,119.217316
63.0,120.171055
63.5,121.124793
64.0,122.078532
64.5,123.03227
65.0,123.986009
65.5,124.939747
66.0,125.893486
66.5,126.847224
67.0,127.800963
67.5,128.754701
68.0,129.70844
68.5,130.662178
69.0,131.615917
69.5,132.569656
70.0,133.523394
70.5,134.477133
71.0,135.430871
71.5,136.38461
72.0,137.338348
72.5,138.292087
73.0,139.245825
73.5,140.199564
74.0,141.153302
74.5,142.107041
75.0,143.060779
75.5,144.014518
76.0,144.968256
76.5,145.921995
77.0,146.875733
77.5,147.829472
78.0,148.783211
78.5,149.736949
79.0,150.690688
79.5,151.644426
80.0,152.598165
80.5,153.551903
81.0,154.505642
81.5,155.45938
82.0,156.413119
82.5,157.366857
83.0,158.320596
83.5,159.274334
84.0,160.228073
84.5,161.181811
85.0,162.13555
85.5,163.089288
86.0,164.043027
86.5,164.996766
87.0,165.950504
87.5,166.904243
88.0,167.857981
88.5,168.81172
89.0,169.765458
89.5,170.719197
90.0,171.672935
90.5,172.626674
91.0,173.580412
91.5,174.534151
92.0,175.487889
92.5,176.441628
93.0,177.395366
93.5,178.349105
94.0,179.302843
94.5,180.256582
95.0,181.210321
95.5,182.164059
96.0,183.117798
96.5,184.071536
97.0,185.025275
97.5,185.979013
98.0,186.932752
98.5,187.88649
99.0,188.840229
99.5,189.793967
100.0,190.747706
100.5,191.701444
101.0,192.655183
101.5,193.608921
102.0,194.56266
102.5,195.516398
103.0,196.470137
103.5,197.423876
104.0,198.377614
104.5,199.331353
105.0,200.285091
105.5,201.23883
106.0,202.192568
106.5,203.146307
107.0,204.100045
107.5,205.053784
108.0,206.007522
108.5,206.961261
109.0,207.914999
109.5,208.868738
110.0,209.822476
110.5,210.776215
111.0,211.729953
111.5,212.683692
112.0,213.637431
112.5,214.591169
113.0,215.544908
113.5,216.498646
114.0,217.452385
114.5,218.406123
115.0,219.359862
115.5,220.3136
116.0,221.267339
116.5,222.221077
117.0,223.174816
117.5,224.128554
118.0,225.082293
118.5,226.036031
119.0,226.98977
119.5,227.943508
120.0,228.897247
120.5,229.850986
121.0,230.804724
121.5,231.758463
122.0,232.712201
122.5,233.66594
123.0,234.619678
123.5,235.573417
124.0,236.527155
124.5,237.480894
125.0,238.434632
125.5,239.388371
126.0,240.342109
126.5,241.295848
127.0,242.249586
127.5,243.203325
128.0,244.157063
128.5,245.110802
129.0,246.064541
129.5,247.018279
130.0,247.972018
130.5,248.925756
131.0,249.879495
131.5,250.833233
132.0,251.786972
132.5,252.74071
133.0,253.694449
133.5,254.648187
134.0,255.601926
134.5,256.555664
135.0,257.509403
135.5,258.463141
136.0,259.41688
136.5,260.370618
137.0,261.324357
137.5,262.278096
138.0,263.231834
138.5,264.185573
139.0,265.139311
139.5,266.09305
140.0,267.046788
140.5,268.000527
141.0,268.954265
141.5,269.908004
142.0,270.861742
142.5,271.815481
143.0,272.769219
143.5,273.722958
144.0,274.676696
144.5,275.630435
145.0,276.584173
145.5,277.537912
146.0,278.491651
146.5,279.445389
147.0,280.399128
147.5,281.352866
148.0,282.306605
148.5,283.260343
149.0,284.214082
149.5,285.16782
