# Kerr ISCO geodesic a/M=0.7
lambda,theta_coord
0.0,1.570796
0.5,1.572506
1.0,1.574194
1.5,1.575837
2.0,1.577415
2.5,1.578906
3.0,1.580292
3.5,1.581553
4.0,1.582675
4.5,1.583642
5.0,1.584441
5.5,1.585062
6.0,1.585498
6.5,1.585741
7.0,1.58579
7.5,1.585644
8.0,1.585304
8.5,1.584774
9.0,1.584063
9.5,1.583178
10.0,1.582133
10.5,1.580939
11.0,1.579613
11.5,1.578172
12.0,1.576635
12.5,1.575022
13.0,1.573354
13.5,1.571653
14.0,1.56994
14.5,1.568238
15.0,1.56657
15.5,1.564957
16.0,1.56342
16.5,1.56198
17.0,1.560654
17.5,1.55946
18.0,1.558414
18.5,1.55753
19.0,1.556818
19.5,1.556289
20.0,1.555949
20.5,1.555802
21.0,1.555851
21.5,1.556095
22.0,1.55653
22.5,1.557152
23.0,1.557951
23.5,1.558918
24.0,1.560039
24.5,1.561301
25.0,1.562687
25.5,1.564178
26.0,1.565756
26.5,1.567399
27.0,1.569086
27.5,1.570796
28.0,1.572506
28.5,1.574194
29.0,1.575837
29.5,1.577415
30.0,1.578906
30.5,1.580292
31.0,1.581553
31.5,1.582675
32.0,1.583642
32.5,1.584441
33.0,1.585062
33.5,1.585498
34.0,1.585741
34.5,1.58579
35.0,1.585644
35.5,1.585304
36.0,1.584774
36.5,1.584063
37.0,1.583178
37.5,1.582133
38.0,1.580939
38.5,1.579613
39.0,1.578172
39.5,1.576635
40.0,1.575022
40.5,1.573354
41.0,1.571653
41.5,1.56994
42.0,1.568238
42.5,1.56657
43.0,1.564957
43.5,1.56342
44.0,1.56198
44.5,1.560654
45.0,1.55946
45.5,1.558414
46.0,1.55753
46.5,1.556818
47.0,1.556289
47.5,1.555949
48.0,1.555802
48.5,1.555851
49.0,1.556095
49.5,1.55653
50.0,1.557152
50.5,1.557951
51.0,1.558918
51.5,1.560039
52.0,1.561301
52.5,1.562687
53.0,1.564178
53.5,1.565756
54.0,1.567399
54.5,1.569086
55.0,1.570796
55.5,1.572506
56.0,1.574194
56.5,1.575837
57.0,1.577415
57.5,1.578906
58.0,1.580292
58.5,1.581553
59.0,1.582675
59.5,1.583642
60.0,1.584441
60.5,1.585062
61.0,1.585498
61.5,1.585741
62.0,1.58579
62.5,1.585644
63.0,1.585304
63.5,1.584774
64.0,1.584063
64.5,1.583178
65.0,1.582133
65.5,1.580939
66.0,1.579613
66.5,1.578172
67.0,1.576635
67.5,1.575022
68.0,1.573354
68.5,1.571653
69.0,1.56994
69.5,1.568238
70.0,1.56657
70.5,1.564957
71.0,1.56342
71.5,1.56198
72.0,1.560654
72.5,1.55946
73.0,1.558414
73.5,1.55753
74.0,1.556818
74.5,1.556289
75.0,1.555949
75.5,1.555802
76.0,1.555851
76.5,1.556095
77.0,1.55653
77.5,1.557152
78.0,1.557951
78.5,1.558918
79.0,1.560039
79.5,1.561301
80.0,1.562687
80.5,1.564178
81.0,1.565756
81.5,1.567399
82.0,1.569086
82.5,1.570796
83.0,1.572506
83.5,1.574194
84.0,1.575837
84.5,1.577415
85.0,1.578906
85.5,1.580292
86.0,1.581553
86.5,1.582675
87.0,1.583642
87.5,1.584441
88.0,1.585062
88.5,1.585498
89.0,1.585741
89.5,1.58579
90.0,1.585644
90.5,1.585304
91.0,1.584774
91.5,1.584063
92.0,1.583178
92.5,1.582133
93.0,1.580939
93.5,1.579613
94.0,1.578172
94.5,1.576635
95.0,1.575022
95.5,1.573354
96.0,1.571653
96.5,1.56994
97.0,1.568238
97.5,1.56657
98.0,1.564957
98.5,1.56342
99.0,1.56198
99.5,1.560654
100.0,1.55946
100.5,1.558414
101.0,1.55753
101.5,1.556818
102.0,1.556289
102.5,1.555949
103.0,1.555802
103.5,1.555851
104.0,1.556095
104.5,1.55653
105.0,1.557152
105.5,1.557951
106.0,1.558918
106.5,1.560039
107.0,1.561301
107.5,1.562687
108.0,1.564178
108.5,1.565756
109.0,1.567399
109.5,1.569086
110.0,1.570796
110.5,1.572506
111.0,1.574194
111.5,1.575837
112.0,1.577415
112.5,1.578906
113.0,1.580292
113.5,1.581553
114.0,1.582675
114.5,1.583642
115.0,1.584441
115.5,1.585062
116.0,1.585498
116.5,1.585741
117.0,1.58579
117.5,1.585644
118.0,1.585304
118.5,1.584774
119.0,1.584063
119.5,1.583178
120.0,1.582133
120.5,1.580939
121.0,1.579613
121.5,1.578172
122.0,1.576635
122.5,1.575022
123.0,1.573354
123.5,1.571653
124.0,1.56994
124.5,1.568238
125.0,1.56657
125.5,1.564957
126.0,1.56342
126.5,1.56198
127.0,1.560654
127.5,1.55946
128.0,1.558414
128.5,1.55753
129.0,1.556818
129.5,1.556289
130.0,1.555949
130.5,1.555802
131.0,1.555851
131.5,1.556095
132.0,1.55653
132.5,1.557152
133.0,1.557951
133.5,1.558918
134.0,1.560039
134.5,1.561301
135.0,1.562687
135.5,1.564178
136.0,1.565756
136.5,1.567399
137.0,1.569086
137.5,1.570796
138.0,1.572506
138.5,1.574194
139.0,1.575837
139.5,1.577415
140.0,1.578906
140.5,1.580292
141.0,1.581553
141.5,1.582675
142.0,1.583642
142.5,1.584441
143.0,1.585062
143.5,1.585498
144.0,1.585741
144.5,1.58579
145.0,1.585644
145.5,1.585304
146.0,1.584774
146.5,1.584063
147.0,1.583178
147.5,1.582133
148.0,1.580939
148.5,1.579613
149.0,1.578172
149.5,1.576635
